time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446350000	16.8338	4.9257	5.15108	0.811404	0.490866	radar	4.32755	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9973	5.14442	5.1651	0.85144	0.51127	lidar	0.287147	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1659	5.32616	5.15256	0.875123	0.516477	radar	1.82286	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.329	5.50358	5.13597	0.892587	0.506706	lidar	0.341397	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4822	5.68952	5.116	0.920953	0.524335	radar	3.43141	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6852	5.80895	5.07808	0.90006	0.464422	lidar	2.88472	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8207	6.02428	5.07049	0.947997	0.520472	radar	1.02826	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.001	6.2018	5.06616	0.951399	0.490182	lidar	0.983487	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1464	6.41676	5.0735	0.977196	0.490339	radar	0.522935	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2695	6.64262	5.07706	1.01197	0.503854	lidar	0.189795	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.397	6.86486	5.07874	1.04301	0.516192	radar	0.134791	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5526	7.00431	5.0206	1.03423	0.475383	lidar	3.52216	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7013	7.21229	5.02892	1.03646	0.428254	radar	0.629341	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
